"Identifiant__BAN";"Conso_chauffage_dépensier_é_finale";"Emission_GES_ECS";"Type_énergie_n°1";"Date_établissement_DPE";"Nom__commune_(BAN)";"Emission_GES_chauffage";"Coût_total_5_usages";"Conso_ECS_é_finale";"Emission_GES_5_usages";"N°DPE";"Code_postal_(BAN)";"Conso_ECS_é_primaire";"Etiquette_GES";"Coordonnée_cartographique_X_(BAN)";"Date_fin_validité_DPE";"Conso_chauffage_é_finale";"Type_bâtiment";"Conso_5_usages_par_m²_é_primaire";"Etiquette_DPE";"Coût_chauffage";"Emission_GES_5_usages_par_m²";"Conso_5_usages_é_finale";"N°_département_(BAN)";"_geopoint";"N°_région_(BAN)";"Surface_habitable_logement";"Version_DPE";"Coordonnée_cartographique_Y_(BAN)";"Code_INSEE_(BAN)";"Coût_ECS";"_score";"Année_construction";"id_fantoir";"numero";"rep";"nom_voie";"code_postal";"code_insee";"nom_commune";"code_insee_ancienne_commune";"nom_ancienne_commune";"x";"y";"lon";"lat";"type_position";"alias";"nom_ld";"libelle_acheminement";"nom_afnor";"source_position";"source_nom_voie";"certification_commune";"cad_parcelles"
"21";"48009_0111_00019";3674.2;135.3;"Électricité";"2022-12-22";"Peyre en Aubrac";283.6;1027.6;2081.8;436.3;"2248E3136868R";"48130";4788;"B";722620.29;"2032-12-21";3590;"maison";207;"D";621.8;6;5933;"48";"44.72320003168355,3.285651010467097";"76";65.8;2.2;6402715.84;"48009";360.5;43.31374;NA;"48009_0111";19;"";"Rue du Prieuré";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722621.31;6402718.28;3.285664;44.723222;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"RUE DU PRIEURE";"commune";"commune";1;"480090000A0909"
"22";"48009_0125_00020";32889.6;724.8;"Fioul domestique";"2023-09-10";"Peyre en Aubrac";6051.9;3151;2237;6808.2;"2348E3013977D";"48130";2237;"E";723022.14;"2033-09-09";31587.8;"maison";350;"E";2865.5;55;34298.2;"48";"44.713388012751345,3.290674966267169";"76";123.4;2.3;6401627.43;"48009";204.5;39.550976;NA;"48009_0125";20;"";"Voie Romaine";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";723022.14;6401627.43;3.290675;44.713388;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"VOIE ROMAINE";"commune";"commune";1;"48009000ZP0290"
"23";"48009_0125_00021";21500.1;899.3;"Fioul domestique";"2022-03-31";"Peyre en Aubrac";6589.6;2379;2775.5;7548.2;"2248E0729230F";"48130";2775.5;"F";723058.68;"2032-03-30";20338.3;"maison";300.3;"F";1859;89.9;24032;"48";"44.71351698209423,3.291136985184291";"76";84;2.1;6401641.89;"48009";254;43.31374;1957;"48009_0125";21;"";"Voie Romaine";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";723061.58;6401650.57;3.291174;44.713595;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"VOIE ROMAINE";"commune";"commune";1;"48009000ZP0151"
"24";"48009_0125_00021";21500.1;899.3;"Fioul domestique";"2022-03-31";"Peyre en Aubrac";6589.6;2379;2775.5;7548.2;"2248E0729994P";"48130";2775.5;"F";723058.68;"2032-03-30";20338.3;"maison";300.3;"F";1859;89.9;24032;"48";"44.71351698209423,3.291136985184291";"76";84;2.1;6401641.89;"48009";254;43.31374;1957;"48009_0125";21;"";"Voie Romaine";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";723061.58;6401650.57;3.291174;44.713595;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"VOIE ROMAINE";"commune";"commune";1;"48009000ZP0151"
"25";"48009_cwha0w_00219";41093.7;663.5;"Fioul domestique";"2023-10-09";"Peyre en Aubrac";9475.6;3244.7;2047.8;10166;"2348E3401120G";"48130";2047.8;"F";722763.68;"2033-10-08";39490;"maison";457;"F";2939.5;109;41944.7;"48";"44.711310029119744,3.28740105777651";"76";92.9;2.3;6401395.67;"48009";187.2;40.651318;NA;"";219;"";"Route de la Croix";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722763.68;6401395.67;3.287401;44.71131;"entrée";NA;"La Croix";"PEYRE EN AUBRAC";"ROUTE DE LA CROIX";"commune";"commune";1;"48009000ZS0096"
"26";"48009_ei7xtn_00021";11819.3;96.2;"Électricité";"2023-09-25";"Peyre en Aubrac";896.8;2131.5;1479.7;1001.1;"2348E3207331V";"48130";3403.3;"C";727435.61;"2033-09-24";11351.5;"maison";498;"F";1868.6;16;12949;"48";"44.694798995848295,3.3462849462060915";"76";59.7;2.3;6399580.43;"48009";243.6;39.550976;NA;"";21;"";"Impasse du Valat";48130;48009;"Peyre en Aubrac";48076;"Javols";727435.61;6399580.43;3.346285;44.694799;"entrée";NA;"Le Régimbal";"PEYRE EN AUBRAC";"IMPASSE DU VALAT";"commune";"commune";1;"480090760B0170"
"27";"48009_kv2z8q_00891";32104.6;106.9;"Bois – Bûches";"2023-09-07";"Peyre en Aubrac";923.7;1382;1644.6;1038.5;"2348E2981069L";"48130";3782.7;"C";725110.07;"2033-09-06";30791.6;"maison";603;"G";985.6;17;32550.2;"48";"44.691513039322494,3.3169139467645152";"76";57.8;2.3;6399205.67;"48009";370.7;39.550976;NA;"";891;"";"Route Alain Bertrand";48130;48009;"Peyre en Aubrac";48076;"Javols";725110.07;6399205.67;3.316914;44.691513;"entrée";NA;"Les Moulins";"PEYRE EN AUBRAC";"ROUTE ALAIN BERTRAND";"commune";"commune";1;"480090760E0516"
"28";"48009_mok6jw_00061";6281.7;117.7;"Électricité";"2024-08-12";"Peyre en Aubrac";369.1;1558.8;1810.9;521.5;"2448E2878069Y";"48130";4165;"B";725163.28;"2034-08-11";6117.7;"appartement";247;"D";1051.2;7;8460.3;"48";"44.69124598307517,3.317584007509736";"76";66.3;2.4;6399176.22;"48009";392.4;46.4696;NA;"";61;"";"Chemin de Javols";48130;48009;"Peyre en Aubrac";48076;"Javols";725163.28;6399176.22;3.317584;44.691246;"entrée";NA;"Les Moulins";"PEYRE EN AUBRAC";"CHEMIN DE JAVOLS";"commune";"commune";1;"480090760E0520"
"29";"48013_0023_00005";40311.8;130;"Bois – Bûches";"2023-01-04";"Badaroux";1595.3;2810.9;2000;1743.6;"2348E0032048O";"48000";4600.1;"C";745937.99;"2033-01-03";38457.1;"maison";413;"F";2435.8;13;40721.3;"48";"44.530711011191464,3.5781360009678784";"76";133.9;2.2;6381461.65;"48013";331.4;34.41625;NA;"48013_0023";5;"";"Rue Chanteloup";48000;48013;"Badaroux";NA;"";745938.4;6381470.32;3.578142;44.530789;"logement";NA;"";"BADAROUX";"RUE CHANTELOUP";"commune";"commune";1;"48013000AL0112"
"30";"48013_0023_00005";40311.8;130;"Bois – Bûches";"2023-01-05";"Badaroux";1595.3;2810.9;2000;1743.6;"2348E0050683H";"48000";4600.1;"C";745937.99;"2033-01-04";38457.1;"maison";413;"F";2435.8;13;40721.3;"48";"44.530711011191464,3.5781360009678784";"76";133.9;2.2;6381461.65;"48013";331.4;34.41625;NA;"48013_0023";5;"";"Rue Chanteloup";48000;48013;"Badaroux";NA;"";745938.4;6381470.32;3.578142;44.530789;"logement";NA;"";"BADAROUX";"RUE CHANTELOUP";"commune";"commune";1;"48013000AL0112"
"31";"48013_0026_00010";36102.6;661.6;"Fioul domestique";"2023-06-25";"Badaroux";11190.1;3478.3;2041.8;11882.4;"2348E2124795V";"48000";2041.8;"G";743120.52;"2033-06-24";34537.4;"maison";338;"G";3157.4;106;37042.1;"48";"44.53381498035558,3.542706996499495";"76";111.1;2.2;6381786.46;"48013";186.7;35.10016;NA;"48013_0026";10;"";"Rue des Chenes";48000;48013;"Badaroux";NA;"";743124.5;6381808.48;3.542759;44.534013;"logement";NA;"";"BADAROUX";"RUE DES CHENES";"commune";"commune";1;"48013000AR0505"
